Name,InChIKey,Formula,Exact Mass,Mix label,RT [min],Adduct,[M+H]+,[M+NH4]+,[M+Na]+,[M-H]-,[M+FA-H]-,[M+Cl]-
unknown71,MXZVBPOYCKIXHN-FFTVMPBDSA-N,C32H42O13,634.2625282,A_M7_posPFP_01,3.24,[M+NH4]+,0.0,652.2964,0.0,0.0,0.0,0.0
unknown72,FSQYXTHPPSJGNG-CSJFXCTJSA-N,C24H38O5,406.2719098,A_M9_negPFP_03,5.88,[M-H]-,0.0,0.0,0.0,405.2646,0.0,0.0
unknown73,NCJFEURQKCATER-UHFFFAOYSA-N,C10H14O3,182.0942894,A_M29_negPFP_03,1.52,[M-H]-,0.0,0.0,0.0,181.087,0.0,0.0
unknown74,ZMFBGWWGXBNJAC-UHFFFAOYSA-N,C16H12O6,300.0633852,A_M3_negPFP_03,4.57,[M-H]-,0.0,0.0,0.0,299.0561,0.0,0.0
unknown75,OUCSEDFVYPBLLF-KAYWLYCHSA-N,C33H33FN2O4,540.242423,E_M35_negPFP_03,5.89,[M+FA-H]-,0.0,0.0,0.0,0.0,585.2406,0.0
unknown76,HIYAQBUTHPUUSV-UHFFFAOYSA-N,C18H21NO,267.1623056,E_M86_posPFP_01,5.87,[M+H]+,268.1696,0.0,0.0,0.0,0.0,0.0
unknown77,LVASCWIMLIKXLA-LSDHHAIUSA-N,C16H17BrClN3O3,413.0141742,E_M41_posPFP_01,4.33,[M+H]+,414.0215,0.0,0.0,0.0,0.0,0.0
unknown78,GGGDNPWHMNJRFN-UHFFFAOYSA-N,C12H11I3N2O4,627.7853096,E_M34_posPFP_01,0.63,[M+H]+,628.7926,0.0,0.0,0.0,0.0,0.0
unknown79,XPIZBBYHXMPNEG-SQUCUVIGSA-N,C19H28O9,400.1733238,A_M3_negPFP_04,3.72,[M+Cl]-,0.0,0.0,0.0,0.0,0.0,435.1427
unknown80,MRPDHXXPDCVBPQ-NTTCMOHZSA-N,C19H34O8,390.2253564,A_M24_posPFP_02,0.97,[M+Na]+,0.0,0.0,413.2146,0.0,0.0,0.0
unknown81,MSTIUVOQDAVXIA-SATOHXPNSA-N,C27H32O14,580.1791972,A_M4_posPFP_02,4.14,[M+Na]+,0.0,0.0,603.1684,0.0,0.0,0.0
unknown82,UTHVFIKQCUKKQW-BKZLMLJWSA-N,C14H19NO7,313.1161464,A_M28_posPFP_02,0.41,[M+Na]+,0.0,0.0,336.1054,0.0,0.0,0.0
unknown83,HZKJZYRLLBKBHA-DHRWMAOJSA-N,C36H58O9,634.4080618,A_M7_posPFP_01,5.48,[M+NH4]+,0.0,652.4419,0.0,0.0,0.0,0.0
unknown84,DFPWLQCOSHYAIG-GOSISDBHSA-N,C18H14O9,374.0637794,A_M7_negPFP_03,4.01,[M-H]-,0.0,0.0,0.0,373.0565,0.0,0.0
unknown85,FHYQIQMSODIFCP-UHFFFAOYSA-N,C20H20O7,372.120897,A_M25_negPFP_03,3.53,[M-H]-,0.0,0.0,0.0,371.1136,0.0,0.0
unknown86,GQXZUABNLSWQJA-UHFFFAOYSA-N,C9H10O3,166.062991,A_M23_negPFP_03,2.47,[M-H]-,0.0,0.0,0.0,165.0557,0.0,0.0
unknown87,JWBZQRMMZRWOSE-UHFFFAOYSA-N,C15H24O2,236.1776204,A_M29_negPFP_03,6.06,[M-H]-,0.0,0.0,0.0,235.1704,0.0,0.0
unknown88,YXAGJAFSQKHJEB-JACRPAJASA-N,C26H40O6,448.282474,A_M9_negPFP_03,6.13,[M-H]-,0.0,0.0,0.0,447.2752,0.0,0.0
unknown89,DEIGXXQKDWULML-UHFFFAOYSA-N,C12H18Br6,635.6508588,E_M35_negPFP_04,6.42,[M+Cl]-,0.0,0.0,0.0,0.0,0.0,670.6203
unknown90,WHIVNJATOVLWBW-SNAWJCMRSA-N,C4H9NO,87.0684104,E_M27_posPFP_01,0.55,[M+H]+,88.0757,0.0,0.0,0.0,0.0,0.0
unknown91,LJVAJPDWBABPEJ-XZVSULPPSA-N,C43H65N5O10,811.473119,E_M34_posPFP_01,8.21,[M+H]+,812.4804,0.0,0.0,0.0,0.0,0.0
unknown92,WOSKHXYHFSIKNG-UHFFFAOYSA-N,C21H19ClN4O4,426.1094764,E_M41_posPFP_02,3.38,[M+Na]+,0.0,0.0,449.0987,0.0,0.0,0.0
unknown93,LIGHTUNOZWZMMP-CBNQQXHVSA-N,C20H22O9,406.1263762,A_M7_negPFP_04,1.98,[M+Cl]-,0.0,0.0,0.0,0.0,0.0,441.0958
unknown94,YPULLITUOWRRPG-LJQANCHMSA-N,C23H20O6,392.125982,A_M25_negPFP_04,5.75,[M+Cl]-,0.0,0.0,0.0,0.0,0.0,427.0954
unknown95,MBBOPONQLZPJRT-UHFFFAOYSA-N,C28H51NO6,497.3716186,A_M9_negPFP_03,6.36,[M+FA-H]-,0.0,0.0,0.0,0.0,542.3698,0.0
unknown96,MMMZDSQYAMMVEG-UHFFFAOYSA-N,C12H16Cl2O4,294.0425596,A_M29_negPFP_03,2.89,[M+FA-H]-,0.0,0.0,0.0,0.0,339.0408,0.0
unknown97,KKUZEALMRZIWAJ-UHFFFAOYSA-N,C20H30O4,334.214398,A_M28_posPFP_01,5.21,[M+H]+,335.2217,0.0,0.0,0.0,0.0,0.0
unknown98,UIDKGJWCHCMTEG-UHFFFAOYSA-N,C15H22O4,266.1518012,A_M8_posPFP_01,5.42,[M+H]+,267.1591,0.0,0.0,0.0,0.0,0.0
unknown99,FNHDSKHVYPYDAZ-QXBAYVDYSA-N,C36H58O8,618.4131468,A_M4_posPFP_01,5.94,[M+NH4]+,0.0,636.447,0.0,0.0,0.0,0.0
unknown100,ZPUVNNIJVVEZBH-CMBBOZRESA-N,C27H24O11,524.1318554,A_M24_posPFP_01,4.47,[M+NH4]+,0.0,542.1657,0.0,0.0,0.0,0.0
unknown101,AEFDYPFFZOCXNS-NSHDSACASA-N,C14H14Cl2N2O3,328.0381434,A_M23_negPFP_03,2.09,[M-H]-,0.0,0.0,0.0,327.0309,0.0,0.0
unknown102,MXADFNHTWMJYES-XOBRGWDASA-N,C21H22O8,402.1314612,A_M3_negPFP_03,3.51,[M-H]-,0.0,0.0,0.0,401.1242,0.0,0.0
unknown103,DVVGIUUJYPYENY-UHFFFAOYSA-N,C6H7NO,109.0527612,E_M27_posPFP_01,0.41,[M+H]+,110.06,0.0,0.0,0.0,0.0,0.0
unknown104,WHBIGIKBNXZKFE-UHFFFAOYSA-N,C22H28N6O3S,456.1943498,E_M38_posPFP_01,4.98,[M+H]+,457.2016,0.0,0.0,0.0,0.0,0.0
unknown105,BWZJBXAPRCVCKQ-UHFFFAOYSA-N,C28H29N5OS,483.2092704,E_M41_posPFP_01,6.05,[M+H]+,484.2166,0.0,0.0,0.0,0.0,0.0
unknown106,GXXXVFMBJGIYPK-IRWFNEAJSA-N,C33H46O19,746.2633166,A_M9_negPFP_03,2.78,[M+FA-H]-,0.0,0.0,0.0,0.0,791.2615,0.0
unknown107,PPLHEXYBZJOGTR-DHKQUUGRSA-N,C19H26O12,446.1424196,A_M7_negPFP_03,1.05,[M+FA-H]-,0.0,0.0,0.0,0.0,491.1406,0.0
unknown108,XMXNEUOHSHGXTJ-GOTSBHOMSA-N,C27H28N4O2,440.2212148,A_M3_negPFP_03,5.5,[M+FA-H]-,0.0,0.0,0.0,0.0,485.2194,0.0
unknown109,YBNGMZMKEPSDPI-LGZJULIWSA-N,C16H28O7,332.1834938,A_M23_negPFP_03,1.09,[M+FA-H]-,0.0,0.0,0.0,0.0,377.1817,0.0
unknown110,YSFNIMJWUPAQKC-RZHLFJOWSA-N,C41H66O14,782.4452336,A_M25_negPFP_03,3.3,[M+FA-H]-,0.0,0.0,0.0,0.0,827.4435,0.0
unknown111,UMPABASQXRRHQB-YSGOIBPISA-N,C24H30N2O3,394.225631,A_M28_posPFP_01,6.12,[M+H]+,395.2329,0.0,0.0,0.0,0.0,0.0
unknown112,ZNBQWPMZFPFCKS-GOSISDBHSA-N,C20H28O4,332.1987488,A_M25_posPFP_01,5.82,[M+H]+,333.206,0.0,0.0,0.0,0.0,0.0
unknown113,CPGFYBGUXQXJMQ-KZQPWMIESA-N,C41H50O11,718.335295,A_M4_posPFP_02,5.9,[M+Na]+,0.0,0.0,741.3245,0.0,0.0,0.0
unknown114,VUHKKYAXFCILCE-UHFFFAOYSA-N,C17H34O4,302.2456964,A_M8_posPFP_02,5.17,[M+Na]+,0.0,0.0,325.2349,0.0,0.0,0.0
unknown115,YDFWTYLPMZZSLA-UHFFFAOYSA-N,C14H15ClO6,314.055712,A_M29_negPFP_03,3.22,[M-H]-,0.0,0.0,0.0,313.0484,0.0,0.0
unknown116,DTVYNUOOZIKEEX-UHFFFAOYSA-N,C9H8N2,144.0687448,E_M27_posPFP_01,0.54,[M+H]+,145.076,0.0,0.0,0.0,0.0,0.0
unknown117,ZDTNHRWWURISAA-UHFFFAOYSA-N,C20H10Br2O5,487.889493,E_M40_posPFP_01,5.53,[M+H]+,488.8968,0.0,0.0,0.0,0.0,0.0
unknown118,PTQXTEKSNBVPQJ-UHFFFAOYSA-N,C29H43NO4S,501.2912638,E_M41_posPFP_02,6.48,[M+Na]+,0.0,0.0,524.2805,0.0,0.0,0.0
unknown119,KSDSYIXRWHRPMN-UHFFFAOYSA-N,C21H22O10,434.1212912,A_M29_negPFP_04,2.94,[M+Cl]-,0.0,0.0,0.0,0.0,0.0,469.0907
unknown120,TXSJJCSJHIDTDE-MZDBWQKZSA-N,C25H32O10,492.1995372,A_M7_negPFP_03,2.15,[M+FA-H]-,0.0,0.0,0.0,0.0,537.1977,0.0
unknown121,OFDBBWUQAHAKDG-PREJITOJSA-N,C25H32O6,428.2198772,A_M25_posPFP_01,5.95,[M+H]+,429.2272,0.0,0.0,0.0,0.0,0.0
unknown122,RRIMLWHUVCZACL-WHGXRBQASA-N,C36H58O9,634.4080618,A_M8_posPFP_02,5.46,[M+Na]+,0.0,0.0,657.3973,0.0,0.0,0.0
unknown123,MOVNHXBNDSZSGK-JPYQVWQLSA-N,C47H74O18,926.4874904,A_M4_posPFP_01,4.82,[M+NH4]+,0.0,944.5213,0.0,0.0,0.0,0.0
unknown124,ULYZLNNPRNDNFD-ZICLEKGPSA-N,C36H42O8,602.2879532,A_M28_posPFP_01,6.22,[M+NH4]+,0.0,620.3218,0.0,0.0,0.0,0.0
unknown125,CDJVLCFAYOIREA-OFCFZGJQSA-N,C47H72O20,956.4616712,A_M9_negPFP_03,3.89,[M-H]-,0.0,0.0,0.0,955.4544,0.0,0.0
unknown126,NLMAGFGYJVPKJJ-NSHDSACASA-N,C14H22O4,254.1518012,A_M27_negPFP_03,5.34,[M-H]-,0.0,0.0,0.0,253.1445,0.0,0.0
unknown127,ONSPHUIOGAJFGD-UHFFFAOYSA-N,C19H18O9,390.0950778,A_M23_negPFP_03,5.89,[M-H]-,0.0,0.0,0.0,389.0878,0.0,0.0
unknown128,YWRZZQBSAZIBEQ-ZPKFMWSBSA-N,C60H92O24,1196.597823,A_M3_negPFP_03,5.71,[M-H]-,0.0,0.0,0.0,1195.5906,0.0,0.0
unknown129,AYRRNFHDJUXLEQ-UHFFFAOYSA-N,C6H9N2O2P,172.0401624,E_M27_posPFP_01,0.47,[M+H]+,173.0474,0.0,0.0,0.0,0.0,0.0
unknown130,NLEBIOOXCVAHBD-QKMCSOCLSA-N,C24H46O11,510.3039966,E_M40_posPFP_01,5.6,[M+NH4]+,0.0,528.3378,0.0,0.0,0.0,0.0
unknown131,LAMRTXHVEXWMOH-PVNJHXBISA-N,C33H54O14,674.3513384,A_M23_negPFP_03,5.05,[M+FA-H]-,0.0,0.0,0.0,0.0,719.3496,0.0
unknown132,NBEYAEFZGDUVGW-MBKLMEFLSA-N,C30H44O8,532.3036024,A_M7_negPFP_03,5.74,[M+FA-H]-,0.0,0.0,0.0,0.0,577.3018,0.0
unknown133,JDYWLRRIZNBKMP-IKRGWGHGSA-N,C34H42O18,738.2371032,A_M8_posPFP_01,4.98,[M+H]+,739.2444,0.0,0.0,0.0,0.0,0.0
unknown134,RBTWPFBRVJRSRZ-XRNSGXKGSA-N,C23H26O11,478.1475046,A_M25_posPFP_02,2.15,[M+Na]+,0.0,0.0,501.1367,0.0,0.0,0.0
unknown135,ODDNJYHUVXKJBI-UHFFFAOYSA-N,C15H28O3,256.2038338,A_M29_posPFP_01,1.62,[M+NH4]+,0.0,274.2377,0.0,0.0,0.0,0.0
unknown136,ZQCSOQVURYSVKL-DHMVUYJDSA-N,C15H24O3,252.1725354,A_M5_posPFP_01,3.15,[M+NH4]+,0.0,270.2064,0.0,0.0,0.0,0.0
unknown137,CPTNKRLUDCGSPQ-GCFZLKQZSA-N,C24H34O13,530.1999314,A_M29_negPFP_03,1.31,[M-H]-,0.0,0.0,0.0,529.1927,0.0,0.0
unknown138,DIADZLCOROOTGN-OLZOCXBDSA-N,C20H24O5,344.1623654,A_M4_negPFP_03,5.83,[M-H]-,0.0,0.0,0.0,343.1551,0.0,0.0
unknown139,JDJWBXPQIRDCOI-UHFFFAOYSA-N,C14H24O6,288.1572804,A_M27_negPFP_03,1.94,[M-H]-,0.0,0.0,0.0,287.15,0.0,0.0
unknown140,DYUWTXWIYMHBQS-UHFFFAOYSA-N,C6H11N,97.0891446,E_M44_posPFP_01,0.48,[M+H]+,98.0964,0.0,0.0,0.0,0.0,0.0
unknown141,VEEGZPWAAPPXRB-YHYXMXQVSA-N,C12H9N3O,211.0745584,E_M27_posPFP_01,2.3,[M+H]+,212.0818,0.0,0.0,0.0,0.0,0.0
unknown142,DPEYAJFUJJMJNO-JOQVNCSISA-N,C47H74O17,910.4925754,A_M7_negPFP_03,5.46,[M+FA-H]-,0.0,0.0,0.0,0.0,955.4908,0.0
unknown143,JUQZBNSNCFPQEN-QEONLWONSA-N,C41H66O13,766.4503186,A_M23_negPFP_03,4.64,[M+FA-H]-,0.0,0.0,0.0,0.0,811.4485,0.0
unknown144,UTHVFIKQCUKKQW-QPQKLBPSSA-N,C14H19NO7,313.1161464,A_M27_negPFP_03,0.35,[M+FA-H]-,0.0,0.0,0.0,0.0,358.1144,0.0
